40235 30206 38619 44870 36.437 -698.6
55176 48164 54182 25782 36.4301 6032
10027 45110 27007 12121 36.4418 4886
31658 35493 35979 19839 36.4271 1282.1
25467 53434 16752 13251 36.4478 8005
27753 41757 54498 18827 36.4553 3630
53561 16012 35219 53077 36.4789 -6017
43530 23210 50487 37970 36.4886 -3320
31613 34370 37471 37930 36.4839 861.4
36187 24570 49101 28501 36.5087 -2810.6
25823 12597 49094 35311 36.5176 -7298
12703 38702 30345 36967 36.5364 2483.7
28609 35970 39498 11729 36.5707 1460.6
36459 32610 34614 26220 36.5864 201.8
36922 44289 30338 12069 36.7339 4579
10245 47956 44614 46176 36.781 5952
44540 38490 26155 46532 36.8338 2405.5
15461 55024 10619 20410 36.877 8600
40088 40677 42524 52096 36.9109 3226
14848 18842 19097 20129 36.9521 -4958
10813 36969 48162 20289 37.0106 1834
19667 39841 54200 16357 37.1967 2910.2
43824 40747 50406 16002 37.3253 3252
33252 18593 40236 27770 37.428 -5051
20205 46966 48808 41479 37.5604 5580
46182 37312 27496 21950 38.1577 1963
48845 15125 40326 20734 38.351 -6349
37162 36046 16810 28827 39.0008 1487.3
34405 18543 30254 41989 39.1471 -5070
25543 22160 19234 53405 39.2278 -3715
30866 55302 48891 32450 39.3257 8700
37796 33245 29705 17165 39.4657 437.5
50322 25494 36316 12211 39.5947 -2465.5
33879 36936 52296 49261 39.6994 1819.6
15148 12377 54023 9867 39.8057 -7380
22807 42927 39484 26519 39.9652 4063
36994 41716 43532 52651 40.0757 3610
46349 14253 20626 13728 40.2214 -6676
13424 53287 49501 47627 40.2594 7942
30832 36638 52675 44478 40.3773 1706.7
10140 38684 35688 12675 40.4798 2471.9
11673 11890 39025 22429 40.5976 -7563
52572 24293 27763 15029 40.6855 -2916
42532 22207 12814 18231 40.7556 -3697
14959 37064 32504 46729 40.7864 1865
18438 35035 13093 44635 40.891 1105.2
19780 53084 54445 20510 40.9637 7865
55152 49483 12618 43778 41.0534 6518
17175 20695 26548 23710 41.126 -4265
48519 42014 34869 40744 41.1578 3721
12349 49898 21813 50383 41.2283 6671
19428 32579 47415 50565 41.3521 184.85
23461 34075 11915 37316 41.3892 745.4
51624 41779 44536 13893 41.4338 3632
45240 34365 44424 20455 41.4903 854.8
51768 30845 43809 36578 41.5338 -463.1
18354 50472 12894 44788 41.5988 6885
19842 53762 42569 15692 41.6186 8117
33863 49508 29058 11116 41.6509 6525
50047 25226 25974 28204 41.7111 -2567
38810 23531 20889 10266 41.795 -3202
16313 21864 26670 14336 41.8178 -3827
52139 29845 24511 43715 41.8775 -837.9
43403 15764 52581 40092 41.9017 -6111
19376 30633 23097 48145 41.9277 -544.4
20403 49560 20430 37958 41.947 6543
40026 36490 20886 40414 41.9861 1649.4
37411 27308 16101 35018 42.014 -1788.7
50224 49258 31171 15946 42.0543 6431
48124 38644 10262 42749 42.048 2456.2
15715 33530 24150 13423 42.0605 540
42751 23518 38457 21361 42.0903 -3207
38842 54463 18148 24655 42.0733 8379
43180 16075 19937 10430 42.1179 -5994
12526 31371 38924 24857 42.1168 -268.75
12131 50214 40968 12962 42.1273 6787
13944 24624 38870 31608 42.1763 -2794.8
43267 47963 47513 45744 42.2409 5945
15855 46598 51284 54849 42.31 5433
52461 11740 48260 34869 42.3449 -7617
16513 38913 29282 29699 42.3937 2554.9
25243 15942 48134 15190 42.4781 -6045
37699 15971 11551 53158 42.6028 -6033
40651 43691 33434 37309 42.6545 4346
36736 53665 18599 53140 42.8486 8078
25546 35760 54439 11504 43.0343 1374.1
53601 31518 46473 36654 43.0911 -212.77
19281 14038 38500 39055 43.1765 -6758
42667 45730 20357 45549 43.2268 5108
31246 50159 21750 38269 43.2968 6765
31294 25158 29138 49172 43.3861 -2594.8
41765 33464 19540 41408 43.5067 514.9
54774 18212 15212 49196 43.5789 -5194
54595 18091 40232 15660 43.6992 -5239
51148 49675 20527 29631 43.8193 6584
17542 48253 13000 33929 43.8869 6050
36991 52076 25480 27238 43.9385 7481
24063 12208 42447 15533 43.9919 -7443
13703 55089 22929 47134 44.127 8607
15977 29494 26754 46057 44.1711 -973.1
17133 36634 52062 52940 44.3116 1699.2
42395 41103 15523 37797 44.3511 3374
35342 32002 54497 31462 44.3867 -33.83
19794 24708 22886 15205 44.4868 -2764.5
23824 42282 11371 40182 44.5155 3814
48281 55040 29823 16156 44.556 8589
18222 17343 40287 54046 44.5744 -5521
45502 25961 38112 21880 44.5911 -2294.4
23412 50976 39246 24421 44.6111 7067
28519 43437 38247 53197 44.6274 4246
45931 54219 24435 12590 44.6523 8282
34428 21458 28967 20164 44.6669 -3980
40401 53722 15005 30814 44.7028 8096
46700 40599 42527 13273 44.7194 3185
45177 14161 15326 49668 44.7349 -6711
19026 47161 38080 26948 44.756 5639
48491 10442 48859 34072 44.7795 -8102
42497 39707 30152 32840 44.8152 2849.6
43819 15719 14263 53846 44.8087 -6127
13920 54905 39364 35916 44.8161 8537
45119 39192 51846 10076 44.8186 2656.9
43840 44425 48901 21589 44.838 4616
16048 17333 44148 32401 44.8516 -5525
44572 9870 12556 23282 44.8853 -8317
